dt,error_u,error_p,error_B
0.5,0.40304258136100746,0.3258186053800926,1.630154791497009
0.25,0.19855513271071054,0.09471091566326853,0.7921481982665334
0.125,0.09859025173663005,0.029171341862331435,0.3841637005727604
